Year,STATE,STATEFIPS,COUNTYFIPS,FIPS,State-County Name,TP-TotPop,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
2010,CA,06,051,06051,Mono County,14.202,53.210,0.040,53.250,176.460,0.000,176.460,229.670,0.040,229.710
2010,CA,06,053,06053,Monterey County,415.057,531.850,4.890,536.740,1.920,6.880,8.800,533.770,11.770,545.540
2010,CA,06,055,06055,Napa County,136.484,57.770,0.000,57.770,39.090,0.000,39.090,96.860,0.000,96.860
2010,CA,06,057,06057,Nevada County,98.764,10.630,0.190,10.820,37.870,0.000,37.870,48.500,0.190,48.690
2010,CA,06,059,06059,Orange County,3010.232,307.220,21.420,328.640,236.100,200.650,436.750,543.320,222.070,765.390
2010,CA,06,061,06061,Placer County,348.432,31.980,0.040,32.020,159.200,0.000,159.200,191.180,0.040,191.220
2010,CA,06,063,06063,Plumas County,20.007,26.410,0.070,26.480,92.250,0.000,92.250,118.660,0.070,118.730
2010,CA,06,065,06065,Riverside County,2189.641,454.260,40.210,494.470,604.790,0.000,604.790,1059.050,40.210,1099.260
2010,CA,06,067,06067,Sacramento County,1418.788,315.020,0.000,315.020,366.040,0.000,366.040,681.060,0.000,681.060
2010,CA,06,069,06069,San Benito County,55.269,62.460,0.090,62.550,22.890,0.000,22.890,85.350,0.090,85.440
2010,CA,06,071,06071,San Bernardino County,2035.210,525.170,20.040,545.210,114.210,0.000,114.210,639.380,20.040,659.420
2010,CA,06,073,06073,San Diego County,3095.313,78.690,7.710,86.400,589.450,2142.340,2731.790,668.140,2150.050,2818.190
2010,CA,06,075,06075,San Francisco County,805.235,1.960,0.030,1.990,81.090,10.410,91.500,83.050,10.440,93.490
2010,CA,06,077,06077,San Joaquin County,685.306,558.050,1.300,559.350,1194.020,0.000,1194.020,1752.070,1.300,1753.370
2010,CA,06,079,06079,San Luis Obispo County,269.637,187.530,1.010,188.540,23.610,2366.990,2390.600,211.140,2368.000,2579.140
2010,CA,06,081,06081,San Mateo County,718.451,11.840,0.090,11.930,81.150,0.000,81.150,92.990,0.090,93.080
2010,CA,06,083,06083,Santa Barbara County,423.895,204.560,5.630,210.190,54.050,0.010,54.060,258.610,5.640,264.250
2010,CA,06,085,06085,Santa Clara County,1781.642,140.590,0.260,140.850,157.370,0.000,157.370,297.960,0.260,298.220
2010,CA,06,087,06087,Santa Cruz County,262.382,54.740,0.070,54.810,11.570,0.000,11.570,66.310,0.070,66.380
2010,CA,06,089,06089,Shasta County,177.223,76.130,0.360,76.490,162.520,0.000,162.520,238.650,0.360,239.010
2010,CA,06,091,06091,Sierra County,3.240,13.560,0.000,13.560,25.470,0.000,25.470,39.030,0.000,39.030
2010,CA,06,093,06093,Siskiyou County,44.900,149.770,0.030,149.800,261.270,0.000,261.270,411.040,0.030,411.070
2010,CA,06,095,06095,Solano County,413.344,227.350,0.160,227.510,225.260,0.000,225.260,452.610,0.160,452.770
2010,CA,06,097,06097,Sonoma County,483.878,132.700,31.960,164.660,94.880,0.000,94.880,227.580,31.960,259.540
2010,CA,06,099,06099,Stanislaus County,514.453,443.480,0.250,443.730,1198.960,0.000,1198.960,1642.440,0.250,1642.690
2010,CA,06,101,06101,Sutter County,94.737,244.350,0.340,244.690,477.260,0.000,477.260,721.610,0.340,721.950
2010,CA,06,103,06103,Tehama County,63.463,177.320,0.220,177.540,648.050,0.000,648.050,825.370,0.220,825.590
2010,CA,06,105,06105,Trinity County,13.786,5.310,0.110,5.420,17.110,0.000,17.110,22.420,0.110,22.530
2010,CA,06,107,06107,Tulare County,442.179,1305.330,0.000,1305.330,1294.950,0.000,1294.950,2600.280,0.000,2600.280
2010,CA,06,109,06109,Tuolumne County,55.365,3.940,0.000,3.940,31.810,0.000,31.810,35.750,0.000,35.750
2010,CA,06,111,06111,Ventura County,823.318,232.010,15.330,247.340,178.920,293.220,472.140,410.930,308.550,719.480
2010,CA,06,113,06113,Yolo County,200.849,401.890,0.000,401.890,378.340,0.000,378.340,780.230,0.000,780.230
2010,CA,06,115,06115,Yuba County,72.155,66.020,4.280,70.300,191.430,0.010,191.440,257.450,4.290,261.740
2015,CA,06,001,06001,Alameda County,1638.215,29.730,5.390,35.120,149.090,0.000,149.090,178.820,5.390,184.210
2015,CA,06,003,06003,Alpine County,1.110,6.890,0.020,6.910,2.940,0.000,2.940,9.830,0.020,9.850
2015,CA,06,005,06005,Amador County,37.001,17.300,0.000,17.300,23.360,0.000,23.360,40.660,0.000,40.660
2015,CA,06,007,06007,Butte County,225.411,763.290,1.460,764.750,47.150,0.000,47.150,810.440,1.460,811.900
2015,CA,06,009,06009,Calaveras County,44.828,7.380,0.000,7.380,9.630,0.000,9.630,17.010,0.000,17.010
2015,CA,06,011,06011,Colusa County,21.482,640.090,0.000,640.090,59.280,0.000,59.280,699.370,0.000,699.370
2015,CA,06,013,06013,Contra Costa County,1126.745,29.920,0.810,30.730,208.420,17.620,226.040,238.340,18.430,256.770
2015,CA,06,015,06015,Del Norte County,27.254,14.210,0.000,14.210,5.340,0.000,5.340,19.550,0.000,19.550
2015,CA,06,017,06017,El Dorado County,184.452,26.830,0.010,26.840,31.630,0.000,31.630,58.460,0.010,58.470
2015,CA,06,019,06019,Fresno County,974.861,994.520,7.820,1002.340,821.830,0.000,821.830,1816.350,7.820,1824.170
2015,CA,06,021,06021,Glenn County,28.017,633.350,0.280,633.630,33.020,0.000,33.020,666.370,0.280,666.650
2015,CA,06,023,06023,Humboldt County,135.727,54.100,0.200,54.300,20.280,0.000,20.280,74.380,0.200,74.580
2015,CA,06,025,06025,Imperial County,180.191,1331.600,0.000,1331.600,586.720,0.000,586.720,1918.320,0.000,1918.320
2015,CA,06,027,06027,Inyo County,18.260,40.620,5.680,46.300,15.690,0.000,15.690,56.310,5.680,61.990
2015,CA,06,029,06029,Kern County,882.176,1620.330,102.240,1722.570,194.970,0.000,194.970,1815.300,102.240,1917.540
2015,CA,06,031,06031,Kings County,150.965,638.250,0.000,638.250,47.070,0.000,47.070,685.320,0.000,685.320
2015,CA,06,033,06033,Lake County,64.591,40.940,4.320,45.260,17.480,0.000,17.480,58.420,4.320,62.740
2015,CA,06,035,06035,Lassen County,31.345,67.890,0.170,68.060,44.080,0.000,44.080,111.970,0.170,112.140
2015,CA,06,037,06037,Los Angeles County,10170.292,624.350,108.000,732.350,772.160,436.000,1208.160,1396.510,544.000,1940.510
2015,CA,06,039,06039,Madera County,154.998,781.740,0.010,781.750,20.340,0.000,20.340,802.080,0.010,802.090
2015,CA,06,041,06041,Marin County,261.221,30.080,0.010,30.090,40.750,0.000,40.750,70.830,0.010,70.840
2015,CA,06,043,06043,Mariposa County,17.531,13.690,0.030,13.720,5.950,0.000,5.950,19.640,0.030,19.670
2015,CA,06,045,06045,Mendocino County,87.649,56.570,0.090,56.660,26.600,0.000,26.600,83.170,0.090,83.260
2015,CA,06,047,06047,Merced County,268.455,734.590,0.390,734.980,357.350,0.000,357.350,1091.940,0.390,1092.330
2015,CA,06,049,06049,Modoc County,8.965,122.180,0.040,122.220,51.470,0.000,51.470,173.650,0.040,173.690
2015,CA,06,051,06051,Mono County,13.909,41.830,0.010,41.840,29.130,0.000,29.130,70.960,0.010,70.970
2015,CA,06,053,06053,Monterey County,433.898,162.240,6.630,168.870,51.040,160.290,211.330,213.280,166.920,380.200
2015,CA,06,055,06055,Napa County,142.456,80.760,0.000,80.760,46.460,0.000,46.460,127.220,0.000,127.220
2015,CA,06,057,06057,Nevada County,98.877,40.610,0.200,40.810,22.750,0.000,22.750,63.360,0.200,63.560
2015,CA,06,059,06059,Orange County,3169.776,299.990,21.340,321.330,180.080,62.360,242.440,480.070,83.700,563.770
2015,CA,06,061,06061,Placer County,375.391,97.780,0.150,97.930,98.320,0.000,98.320,196.100,0.150,196.250
2015,CA,06,063,06063,Plumas County,18.409,75.480,0.160,75.640,31.450,0.000,31.450,106.930,0.160,107.090
2015,CA,06,065,06065,Riverside County,2361.026,858.420,21.500,879.920,344.490,0.000,344.490,1202.910,21.500,1224.410
2015,CA,06,067,06067,Sacramento County,1501.335,560.160,0.000,560.160,314.020,0.000,314.020,874.180,0.000,874.180
2015,CA,06,069,06069,San Benito County,58.792,19.110,0.040,19.150,6.850,0.000,6.850,25.960,0.040,26.000
2015,CA,06,071,06071,San Bernardino County,2128.133,343.810,19.510,363.320,94.060,0.000,94.060,437.870,19.510,457.380
2015,CA,06,073,06073,San Diego County,3299.521,105.530,4.450,109.980,427.270,80.580,507.850,532.800,85.030,617.830
2015,CA,06,075,06075,San Francisco County,864.816,2.580,0.040,2.620,65.750,0.000,65.750,68.330,0.040,68.370
2015,CA,06,077,06077,San Joaquin County,726.106,757.680,1.850,759.530,577.310,0.000,577.310,1334.990,1.850,1336.840
2015,CA,06,079,06079,San Luis Obispo County,281.401,77.320,1.120,78.440,39.350,1985.380,2024.730,116.670,1986.500,2103.170
2015,CA,06,081,06081,San Mateo County,765.135,22.660,0.000,22.660,70.320,0.000,70.320,92.980,0.000,92.980
2015,CA,06,083,06083,Santa Barbara County,444.769,68.610,6.850,75.460,45.080,0.000,45.080,113.690,6.850,120.540
2015,CA,06,085,06085,Santa Clara County,1918.044,88.560,0.000,88.560,129.880,0.000,129.880,218.440,0.000,218.440
2015,CA,06,087,06087,Santa Cruz County,274.146,41.140,0.250,41.390,17.260,0.000,17.260,58.400,0.250,58.650
2015,CA,06,089,06089,Shasta County,179.533,131.030,0.470,131.500,113.250,0.000,113.250,244.280,0.470,244.750
2015,CA,06,091,06091,Sierra County,2.967,17.310,0.000,17.310,7.040,0.000,7.040,24.350,0.000,24.350
2015,CA,06,093,06093,Siskiyou County,43.554,148.040,0.180,148.220,81.670,0.000,81.670,229.710,0.180,229.890
2015,CA,06,095,06095,Solano County,436.092,295.260,0.100,295.360,161.340,0.000,161.340,456.600,0.100,456.700
2015,CA,06,097,06097,Sonoma County,502.146,182.630,25.310,207.940,109.130,0.000,109.130,291.760,25.310,317.070
2015,CA,06,099,06099,Stanislaus County,538.388,692.590,0.240,692.830,459.370,0.000,459.370,1151.960,0.240,1152.200
2015,CA,06,101,06101,Sutter County,96.463,478.520,0.200,478.720,181.170,0.000,181.170,659.690,0.200,659.890
2015,CA,06,103,06103,Tehama County,63.308,199.810,0.160,199.970,339.180,0.000,339.180,538.990,0.160,539.150
2015,CA,06,105,06105,Trinity County,13.069,8.520,0.010,8.530,13.900,0.000,13.900,22.420,0.010,22.430
2015,CA,06,107,06107,Tulare County,459.863,1257.660,0.000,1257.660,274.660,0.000,274.660,1532.320,0.000,1532.320
2015,CA,06,109,06109,Tuolumne County,53.709,4.390,0.000,4.390,22.380,0.000,22.380,26.770,0.000,26.770
2015,CA,06,111,06111,Ventura County,850.536,130.830,11.000,141.830,109.280,61.860,171.140,240.110,72.860,312.970
2015,CA,06,113,06113,Yolo County,213.016,209.000,0.000,209.000,393.430,0.000,393.430,602.430,0.000,602.430
2015,CA,06,115,06115,Yuba County,74.492,232.500,0.610,233.110,93.910,0.000,93.910,326.410,0.610,327.020
